category,image_id,image_path,ecg_id,layout,status,elapsed_seconds,error,layout_name,nonzero_leads_count,einthoven_score,median_correlation,mean_correlation,minimum_correlation,median_normalized_rmse,median_rmse_mv,median_snr_db,median_gain_ratio
photos_iphone,10,photos_iphone/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,5.229120999996667,,3x4+1R,12,0.6348209045793547,0.8780250662870044,0.8663445107434026,0.653248586819006,0.4928995654889132,0.10477349044544226,4.849580283910494,0.8765341992066241
photos_samsung,10,photos_samsung/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,5.4088744160108035,,3x4+1R,12,0.7207215272210972,0.936217579129017,0.9206854891776937,0.8276890641016116,0.357076379611162,0.08539109891055735,6.647561545684377,0.8813505440296467
photos_scans,10,photos_scans/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,12.675900832997286,,3x4+1R,12,0.9765015348103409,0.9711376564525918,0.9648119927795227,0.9095511156345724,0.2402325497364482,0.07524819084210066,8.804143504003456,0.9096732014933537
photos_screens,10,photos_screens/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,6.4466752909938805,,3x4+1R,12,0.5500903328802373,0.8110767126280143,0.7897607192524484,0.5684848127972941,0.6136003884865902,0.1074698439295039,3.448635632898128,0.843688829557401
photos_bents,14,photos_bents/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,12.26714404100494,,3x4+1R,12,-0.19731617804235754,0.16369696524214675,0.15552462135069658,0.011153840209665686,1.2932836301400505,0.279030551993161,-1.6011741184457127,0.7997010925399466
photos_crumbles,14,photos_crumbles/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,59.64786783400632,,3x4+1R,12,0.06882595528764698,0.13806143453323555,0.1381199266173416,0.06172146849072518,1.3129648333021566,0.332707863692035,-0.45995059477112094,0.45132882691278575
photos_doogee,14,photos_doogee/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,6.591221333990688,,3x4+1R,12,0.9543226076350064,0.8630548455995501,0.8030404701648486,0.3491290692580865,0.5233343149230867,0.13331623635548098,5.203208090309305,0.8874136055075639
photos_iphone,14,photos_iphone/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,6.137529583997093,,3x4+1R,12,0.6640763132772536,0.14800765543741906,0.23782775072875942,-0.049473175663844106,1.3053521424231902,0.26763001634022066,-1.3503541863727233,0.8940856968497306
photos_samsung,14,photos_samsung/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,6.203211666012066,,3x4+1R,12,0.9486187969020683,0.8129470680048106,0.7950977419478319,0.3351210510363901,0.6115671554815267,0.11880913528205816,4.13211437144161,0.8806182556707889
photos_scans,14,photos_scans/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,6.209420666011283,,3x4+1R,12,0.942160881335297,0.10125588409920644,0.09495449114243885,-0.038486616559213996,1.3407012253412818,0.348259690376337,-2.435978145012294,0.9492950535107316
photos_screens,14,photos_screens/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,12.503582290999475,,3x4+1R,12,0.37763970472088115,0.7465475004332865,0.7195104919016386,0.2930826228850561,0.7112455283576491,0.16458358531328093,3.2156922176995195,0.855886275210026
photos_bents,40,photos_bents/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,15.459526874998119,,3x4+1R,12,0.46016038745634125,0.5364697039802602,0.5095638009084267,0.14578374516713297,0.9620226405554677,0.17936014467515254,0.44528504425506427,0.9476699494349066
photos_crumbles,40,photos_crumbles/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,10.670984791999217,,3x4+1R,12,0.21817446020703948,0.2601395490476861,0.26869755667348044,0.057378209515867515,1.2158459979394196,0.23368545311868105,-1.7115126737667707,1.057845378253219
photos_doogee,40,photos_doogee/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,6.407993084008922,,3x4+1R,12,0.9926616563928663,0.9747137244801427,0.9648619172128835,0.9147954346014984,0.2246724387429727,0.054784005318577876,9.619854338033623,0.9377224961535999
photos_iphone,40,photos_iphone/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,11.007158458000049,,3x4+1R,12,0.9772280408018904,0.976893844152492,0.9648481485007548,0.9144141432475354,0.21496539602931344,0.053639182494998716,9.48917136051778,0.9555352242331654
photos_samsung,40,photos_samsung/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,5.796698082995135,,3x4+1R,12,0.9586599084926327,0.9555984344607378,0.9271568802922476,0.6924630116327243,0.2977469294429005,0.055560946026664566,9.479166241540444,0.9568093757601828
photos_scans,40,photos_scans/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,9.842870499996934,,3x4+1R,12,0.9970778181069698,0.9895565128129274,0.9766713912402154,0.9100014018848087,0.1444726737226083,0.04626084926347343,10.962361923950379,0.9495615613125823
photos_screens,40,photos_screens/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,13.096336124988738,,3x4+1R,12,0.7696446972405451,0.5011479813686857,0.5050118923770331,-0.0038969547604431965,0.9716073528495528,0.18645097029516083,0.19073454914618926,0.9290570854525111
photos_bents,42,photos_bents/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,10.588880166003946,,3x4+1R,12,0.11543353190922624,0.19994583844869207,0.2482361171926989,-0.03612411220203639,1.264879588667392,0.23232257373078713,-1.8090975498323654,0.9281995086619971
photos_crumbles,42,photos_crumbles/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,9.883771082997555,,3x4+1R,12,0.26347876407692583,0.4329352133926325,0.4645044487576135,0.017708725952679093,1.0647993388590296,0.1856921028849329,-0.2158305133751714,0.9216372337793448
photos_doogee,42,photos_doogee/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,7.560846041000332,,3x4+1R,12,0.973579531620615,0.962484424815117,0.9435540411282776,0.7475090826748549,0.2738507453429574,0.05259479070728987,11.056201547759807,0.9403521789740223
photos_iphone,42,photos_iphone/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,5.732873041997664,,3x4+1R,12,0.8093597255974055,0.8829541208713234,0.7403037705214208,0.008724575745600588,0.4837525565997969,0.08189496393695017,6.1968710361049375,0.9472636491680881
photos_samsung,42,photos_samsung/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,5.8631303339934675,,3x4+1R,12,0.9206656491922893,0.9591191117096681,0.9463013064940725,0.8682708456384329,0.2854343704775557,0.05592050521858259,10.053472328056959,0.9466000640124357
photos_scans,42,photos_scans/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,7.143786832995829,,3x4+1R,12,0.39825151765654093,0.239191133927657,0.2163549208107632,-0.0764435043887698,1.2335360122464536,0.21227242699465196,-0.8752715474460939,0.9213652447295705
photos_screens,42,photos_screens/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,12.156147832996794,,3x4+1R,12,0.866296392241269,0.7256785354226185,0.567738392286058,-0.001651408647238725,0.7407034122876679,0.122028286098094,2.764868341482279,0.9410912281919308
